iter	Passed	Remaining
0	13	13258
1	24	12163
2	35	11717
3	46	11464
4	57	11447
5	68	11411
6	79	11266
7	90	11256
8	101	11173
9	112	11155
10	123	11090
11	134	11046
12	144	10967
13	155	10968
14	167	10980
15	177	10931
16	189	10945
17	200	10921
18	210	10882
19	221	10861
20	232	10838
21	243	10804
22	254	10801
23	264	10768
24	275	10737
25	286	10738
26	297	10723
27	308	10708
28	319	10714
29	331	10716
30	342	10690
31	353	10680
32	363	10657
33	374	10641
34	385	10632
35	401	10760
36	419	10919
37	431	10913
38	450	11101
39	463	11134
40	477	11165
41	487	11121
42	498	11098
43	510	11098
44	521	11068
45	532	11046
46	545	11050
47	561	11135
48	573	11125
49	584	11102
50	600	11182
51	612	11169
52	623	11146
53	636	11148
54	651	11201
55	664	11203
56	675	11183
57	690	11206
58	706	11265
59	719	11274
60	738	11363
61	750	11359
62	763	11356
63	775	11340
64	787	11322
65	798	11301
66	810	11286
67	822	11273
68	832	11239
69	844	11219
70	858	11226
71	869	11211
72	882	11212
73	898	11238
74	919	11342
75	932	11342
76	952	11414
77	963	11387
78	974	11366
79	985	11329
80	995	11300
81	1006	11269
82	1016	11235
83	1027	11207
84	1038	11176
85	1048	11147
86	1059	11118
87	1070	11090
88	1080	11056
89	1090	11029
90	1102	11008
91	1112	10975
92	1127	10994
93	1137	10968
94	1155	11003
95	1166	10982
96	1177	10958
97	1187	10933
98	1198	10907
99	1208	10880
100	1219	10851
101	1229	10825
102	1240	10801
103	1251	10783
104	1261	10756
105	1272	10729
106	1283	10713
107	1293	10687
108	1304	10661
109	1314	10634
110	1324	10610
111	1334	10584
112	1345	10562
113	1356	10545
114	1367	10524
115	1378	10501
116	1388	10480
117	1399	10461
118	1410	10443
119	1421	10424
120	1431	10400
121	1441	10375
122	1452	10358
123	1464	10342
124	1474	10322
125	1485	10306
126	1496	10290
127	1506	10265
128	1517	10249
129	1528	10229
130	1538	10207
131	1547	10176
132	1557	10155
133	1568	10135
134	1579	10117
135	1589	10097
136	1600	10081
137	1612	10074
138	1623	10055
139	1634	10037
140	1644	10020
141	1654	9999
142	1666	9989
143	1677	9972
144	1688	9956
145	1698	9934
146	1709	9921
147	1719	9901
148	1729	9879
149	1740	9862
150	1750	9844
151	1761	9828
152	1772	9809
153	1785	9809
154	1803	9831
155	1817	9831
156	1828	9818
157	1838	9799
158	1851	9791
159	1867	9803
160	1879	9792
161	1891	9785
162	1901	9764
163	1914	9757
164	1929	9763
165	1940	9749
166	1950	9730
167	1962	9717
168	1974	9707
169	1985	9694
170	1996	9679
171	2008	9668
172	2019	9655
173	2030	9641
174	2043	9631
175	2054	9619
176	2065	9603
177	2077	9593
178	2088	9579
179	2100	9567
180	2111	9555
181	2122	9541
182	2134	9529
183	2145	9515
184	2158	9508
185	2170	9497
186	2180	9478
187	2192	9467
188	2203	9456
189	2214	9439
190	2225	9427
191	2237	9416
192	2249	9407
193	2260	9391
194	2271	9377
195	2281	9360
196	2292	9346
197	2304	9334
198	2315	9319
199	2326	9304
200	2336	9288
201	2347	9274
202	2358	9260
203	2369	9244
204	2380	9231
205	2391	9218
206	2403	9208
207	2415	9198
208	2425	9181
209	2436	9167
210	2446	9149
211	2457	9133
212	2467	9117
213	2477	9099
214	2488	9086
215	2499	9071
216	2509	9053
217	2520	9039
218	2530	9025
219	2540	9008
220	2551	8994
221	2561	8977
222	2572	8962
223	2582	8947
224	2592	8930
225	2604	8919
226	2614	8904
227	2624	8887
228	2635	8872
229	2645	8858
230	2656	8844
231	2667	8828
232	2677	8812
233	2687	8797
234	2697	8781
235	2707	8765
236	2717	8749
237	2728	8734
238	2737	8717
239	2748	8703
240	2758	8687
241	2768	8672
242	2779	8657
243	2789	8644
244	2799	8628
245	2809	8612
246	2819	8595
247	2830	8582
248	2840	8565
249	2850	8552
250	2860	8536
251	2870	8521
252	2881	8507
253	2892	8494
254	2901	8478
255	2912	8465
256	2923	8451
257	2933	8436
258	2944	8424
259	2954	8408
260	2965	8396
261	2975	8381
262	2985	8364
263	2995	8351
264	3008	8344
265	3018	8328
266	3028	8314
267	3039	8300
268	3049	8286
269	3059	8272
270	3069	8258
271	3080	8244
272	3090	8230
273	3100	8215
274	3110	8201
275	3121	8188
276	3131	8174
277	3142	8161
278	3153	8148
279	3164	8136
280	3174	8122
281	3184	8108
282	3195	8094
283	3206	8085
284	3217	8071
285	3228	8060
286	3238	8046
287	3249	8033
288	3259	8020
289	3270	8007
290	3280	7992
291	3291	7979
292	3301	7965
293	3311	7951
294	3321	7937
295	3331	7923
296	3341	7909
297	3352	7897
298	3362	7883
299	3373	7870
300	3383	7856
301	3393	7843
302	3404	7832
303	3414	7818
304	3426	7807
305	3436	7793
306	3446	7779
307	3456	7765
308	3467	7754
309	3477	7740
310	3488	7728
311	3498	7714
312	3508	7701
313	3519	7688
314	3529	7674
315	3540	7663
316	3551	7651
317	3561	7637
318	3572	7625
319	3582	7612
320	3595	7605
321	3606	7592
322	3616	7579
323	3626	7566
324	3636	7553
325	3646	7539
326	3658	7529
327	3668	7516
328	3678	7502
329	3689	7491
330	3699	7478
331	3709	7463
332	3719	7450
333	3730	7438
334	3739	7424
335	3750	7410
336	3765	7408
337	3782	7408
338	3792	7395
339	3803	7383
340	3813	7369
341	3823	7355
342	3833	7343
343	3843	7329
344	3853	7316
345	3864	7303
346	3873	7290
347	3884	7277
348	3894	7265
349	3905	7252
350	3915	7239
351	3925	7226
352	3936	7215
353	3946	7201
354	3956	7188
355	3966	7175
356	3976	7162
357	3986	7149
358	3996	7136
359	4006	7122
360	4017	7110
361	4026	7097
362	4036	7083
363	4047	7071
364	4056	7057
365	4067	7045
366	4077	7032
367	4087	7019
368	4097	7006
369	4107	6994
370	4118	6981
371	4128	6969
372	4138	6956
373	4148	6944
374	4160	6933
375	4170	6920
376	4180	6909
377	4191	6896
378	4201	6883
379	4211	6872
380	4221	6858
381	4232	6846
382	4242	6834
383	4252	6821
384	4262	6808
385	4272	6796
386	4282	6783
387	4293	6771
388	4302	6758
389	4314	6747
390	4324	6735
391	4334	6722
392	4344	6710
393	4355	6698
394	4365	6686
395	4375	6674
396	4385	6660
397	4395	6648
398	4406	6637
399	4416	6625
400	4427	6613
401	4438	6601
402	4447	6588
403	4458	6576
404	4467	6564
405	4478	6552
406	4488	6539
407	4498	6527
408	4508	6515
409	4518	6502
410	4529	6490
411	4539	6479
412	4549	6466
413	4559	6454
414	4571	6444
415	4581	6431
416	4592	6421
417	4603	6409
418	4613	6396
419	4623	6384
420	4633	6372
421	4644	6360
422	4654	6348
423	4664	6336
424	4674	6324
425	4684	6312
426	4694	6299
427	4704	6287
428	4714	6275
429	4725	6263
430	4735	6251
431	4745	6239
432	4756	6228
433	4766	6216
434	4776	6204
435	4787	6192
436	4796	6180
437	4807	6168
438	4817	6156
439	4827	6143
440	4837	6132
441	4847	6119
442	4857	6107
443	4868	6096
444	4878	6084
445	4889	6072
446	4900	6062
447	4910	6050
448	4920	6038
449	4931	6026
450	4940	6014
451	4951	6002
452	4961	5990
453	4971	5979
454	4982	5967
455	4992	5956
456	5003	5944
457	5013	5932
458	5023	5920
459	5033	5909
460	5044	5897
461	5053	5885
462	5064	5873
463	5074	5861
464	5086	5852
465	5097	5840
466	5106	5828
467	5117	5816
468	5127	5805
469	5137	5793
470	5147	5781
471	5157	5769
472	5167	5757
473	5178	5746
474	5188	5734
475	5198	5723
476	5208	5711
477	5219	5699
478	5229	5688
479	5239	5676
480	5250	5665
481	5261	5654
482	5271	5642
483	5282	5631
484	5291	5619
485	5301	5606
486	5311	5595
487	5322	5583
488	5332	5572
489	5342	5560
490	5352	5549
491	5363	5537
492	5374	5526
493	5384	5514
494	5396	5505
495	5407	5494
496	5417	5482
497	5433	5476
498	5452	5473
499	5471	5471
500	5485	5463
501	5495	5452
502	5506	5440
503	5516	5428
504	5526	5417
505	5536	5405
506	5547	5394
507	5558	5383
508	5568	5371
509	5579	5360
510	5590	5349
511	5600	5338
512	5610	5326
513	5621	5314
514	5630	5302
515	5641	5291
516	5652	5280
517	5662	5269
518	5675	5259
519	5691	5253
520	5701	5242
521	5721	5239
522	5731	5227
523	5741	5215
524	5751	5203
525	5761	5192
526	5772	5180
527	5783	5169
528	5796	5160
529	5807	5149
530	5817	5138
531	5827	5126
532	5838	5115
533	5848	5103
534	5858	5091
535	5869	5081
536	5879	5069
537	5890	5058
538	5910	5055
539	5925	5048
540	5941	5041
541	5951	5029
542	5962	5017
543	5972	5006
544	5982	4994
545	5993	4983
546	6003	4971
547	6013	4960
548	6024	4948
549	6034	4937
550	6045	4926
551	6055	4914
552	6065	4903
553	6076	4891
554	6086	4880
555	6096	4868
556	6107	4857
557	6118	4846
558	6133	4838
559	6143	4827
560	6164	4823
561	6174	4811
